investor capitalist
white_alder shrub
process body_part
afflict upset
destabilize modify
ventilate show
shading marking
tittup walk
clearway route
wish salutation
strainer filter
devastation termination
television_pickup_tube vacuum_tube
suidae mammal_family
talk_through_one's_hat sham
corn give
hieracium asterid_dicot_genus
statement commercial_instrument
commander serviceman
swagger gait
collar striation
magpie corvine_bird
turning_point intersection
sensitization sensitivity
feline carnivore
oryctolagus mammal_genus
whelm raise
lowness status
glissando tune
genus_convallaria liliid_monocot_genus
warfare struggle
loathe hate
work run
hypotonus tonus
rooting_reflex unconditioned_reflex
direction spatial_relation
political_unit unit
dressing medical_care
female_aristocrat patrician
predecessor indication
illusion dissimulation
procedure proceedings
w letter_of_the_alphabet
rushing movement
labor_leader leader
genus_aristotelia dilleniid_dicot_genus
round rotating_mechanism
council meeting
range feed
tanacetum_ptarmiciflorum composite_plant
panting ventilation
panic fear
fall snuff_it
myrsine_family magnoliopsid_family
nymphalidae arthropod_family
come see
distribution_law law_of_nature
campanula herbaceous_plant
vaporize lessen
young_mammal young
poise set
litigator party
stamp imprint
sunni_islam sect
profligacy self-indulgence
rattlebox herbaceous_plant
distinguished_service_medal ribbon
variability unregularity
marginal_wood_fern woodfern
bobble pratfall
sorrow suffer
wank stir
distortion electrical_phenomenon
mitigate minify
doorbell push_button
inscription message
sleepover social_occasion
rawness wholeness
redheader soul
true_lobster lobster
ardent_spirits strong_drink
neuroglial_cell vegetative_cell
heel undersurface
genus_eschrichtius mammal_genus
disconnect separate
frenchwoman european
trogonidae bird_family
vermillion_flycatcher tyrant_flycatcher
ethanoic_acid carboxylic_acid
stockpile pile
lighter boat
quilt tailor-make
shit shitting
profession occupation
upbraider authority
petulance ill_humour
night_porter porter
pedaller rider
family_adiantaceae fern_family
thermic_fever heatstroke
tilletia fungus_genus
shock_treatment therapy
snore take_a_breath
family_cleridae arthropod_family
soprano vocalizer
solemnity_of_mary holy_day_of_obligation
fragmentize split_up
saleswoman salesperson
lymantriidae arthropod_family
high_holy_day jewish_holy_day
electromagnetic_spectrum spectrum
saturniidae arthropod_family
principal wrongdoer
fluidram imperial_capacity_unit
genus_entoloma fungus_genus
atomistic_theory theory
genus_cacalia asterid_dicot_genus
tamarindo edible_fruit
irk anger
singing_voice vox
averting turning_away
name_and_address instruction
pitymys_pinetorum vole
twaddle verbalize
wren passerine
servicing union
curve segment
fly_blind pilot
verdolagas purslane
warning_of_attack tactical_warning
tamias mammal_genus
basin vessel
