pudding  sweet
heavenly_body  natural_object
table_service  tableware
attraction  show
dormouse  rodent
escapology  subject_field
conform  change
emir  swayer
breach  failure
genus_gallus  bird_genus
deliberate  talk_over
pickerel  pike
tocharian  indo-hittite
reappear  appear
volcanic_rock  igneous_rock
national_bank  full_service_bank
troy_unit  weight_unit
fastening  joining
syngnathus  fish_genus
open_order  military_formation
tayra  musteline_mammal
tibialis_muscle  striated_muscle
weaponize  modify
sciolist  amateur
invaginate  retract
fence_in  shut_in
manilkara  magnoliopsid_genus
ethmoid_bone  os
echinochloa_crusgalli  millet
blooming  organic_process
genus_arctium  asterid_dicot_genus
phytelephas  plant_genus
wild_indigo  woody_plant
tipper_truck  truck
pallium  neural_structure
walk_in  move_into
definite_quantity  quantity
transferase  enzyme
dunk  shoot
sulcus  fissure
vancomycin  antibiotic_drug
swivel  turn
cuddle  squeeze
staidness  sincerity
southernism  mental_attitude
hijack  offense
volvariella  fungus_genus
orycteropus  mammal_genus
dark_meat  meat
lignum_vitae  flowering_tree
cytogeny  ontogeny
genus_bradypus  mammal_genus
genus_cliftonia  magnoliopsid_genus
watchdog  working_dog
differential_threshold  threshold
stop_up  fill_up
hurl  throw
leap_year  yr
singleton  unity
pig_iron  iron
guaiacum  rosid_dicot_genus
edible_seed  seed
crystal_set  wireless
sepiidae  mollusk_family
plant_order  order
quibbler  malcontent
ventilation_system  mechanical_system
pay_packet  wage
genus_ecballium  magnoliopsid_genus
spitz  domestic_dog
statute_mile  linear_unit
upthrust  rising
philanthropy  financial_aid
elaboration  expansion
slipper_spurge  shrub
gainsay  repugn
fix  set_up
plagiarization  infringement_of_copyright
genus_adenanthera  rosid_dicot_genus
mediate  talk_terms
rajab  islamic_calendar_month
neem_seed  seed
genus_anoa  mammal_genus
sovietism  communism
baccalaureate  sermon
scrimshank  shrink_from
art_form  variety
trudger  walker
pholidae  fish_family
civilize  modify
complementary_dna  dna
zoologist  life_scientist
leafing  ontogeny
put_forward  deport
tabu  prejudice
viscosimeter  measuring_system
saurian  diapsid_reptile
siberian_crab_apple  cultivated_crab_apple
xerophyllum  liliid_monocot_genus
fuel-air_explosive  explosive_device
ru_486  abortion-inducing_drug
recipient  acquirer
outwear  surpass
ryegrass  grass
physostigma_venenosum  vine
americanization  assimilation
kumquat_tree  citrus_tree
fly_tent  tent
mediterranean_fruit_fly  pomace_fly
encyclopedist  compiler
communications  subject_field
amount  magnitude
immobilization  saving
genus_cosmocampus  fish_genus
cs  metallic_element
survival_of_the_fittest  natural_process
minute_gun  gun
exposure_therapy  systematic_desensitization
expatiation  expansion
vilification  disrespect
santa_lucia_fir  true_fir
prizefight  box
dwindling_away  lessening
cervical_artery  artery
stimulant_drug  drug
hasty_pudding  porridge
floppy_disk  magnetic_disk
emergence  human_activity
lampropeltis  reptile_genus
nigerian  african
wailing  weeping
spectroscope  optical_instrument
faultfinder  unpleasant_person
systematism  practice
us_senate  senate
foxtail_grass  meadowgrass
tope  use
dirt_track  track
sodomite  pervert
perca  fish_genus
psychotria  asterid_dicot_genus
shorea  dilleniid_dicot_genus
pteridospermaphyta  taxonomic_group
danaid_butterfly  butterfly
wangler  trickster
sweet_talker  pretender
subrogation  substitution
genus_python  reptile_genus
cantaloupe  sweet_melon
pushiness  self-assertiveness
dynasty  sept
gull  lead_on
whoredom  vice_crime
family_cypraeidae  mollusk_family
genus_rhinoceros  mammal_genus
phensuximide  antiepileptic_drug
ridiculousness  nonsensicality
silverbush  shrub
underrate  misjudge
purslane  herbaceous_plant
drooping_brome  bromegrass
holly_fern  fern
packing  inclosure
accuser  eristic
pediculati  animal_order
