坦 然 面 对 质 疑 ， 尊 重 客 观 规 律
注 重 讨 论 交 流 ， 冷 静 对 待 评 奖
虚 拟 化 是 化 繁 为 简 的 关 键 技 术
一 味 提 高 速 度 不 是 明 智 的 选 择
任 何 人 都 不 可 能 是 世 界 的 中 心
能 言 善 辩 不 是 万 能 的 灵 丹 妙 药
以 身 作 则 培 养 学 生 的 团 队 精 神
有 所 突 破 ， 一 定 要 先 在 思 维 方
自 主 性 （ a u t o n o m y ）
核 心 关 键 系 统 成 本 的 有 效 控 制
硬 件 运 行 平 台 的 物 理 资 源 限 制
机 器 学 习 新 范 式 — — 联 邦 学 习
联 邦 学 习 是 一 种 隐 私 计 算 方 法
基 于 菲 涅 尔 区 模 型 的 感 知 理 论
小 文 件 的 高 度 并 发 访 问 性 能 低
能 力 发 展 选 择 与 战 略 支 撑 关 系
软 件 定 义 的 数 据 驱 动 计 算 架 构
无 线 网 络 通 信 领 域 的 调 度 问 题
为 弱 视 人 群 设 计 增 强 现 实 系 统
增 加 虚 拟 现 实 技 术 的 可 使 用 性
辅 助 弱 视 人 群 技 术 的 前 景 展 望
虚 拟 化 和 并 行 计 算 将 广 泛 应 用
基 于 新 硬 件 的 查 询 处 理 与 优 化
基 于 新 硬 件 的 数 据 库 系 统 架 构
面 向 网 络 的 应 用 需 求 快 速 增 长
以 学 生 为 中 心 与 学 习 状 况 评 估
机 器 智 能 端 的 感 知 与 学 习 理 论
边 缘 计 算 网 络 架 构 的 抽 象 模 型
统 计 机 器 学 习 的 优 化 求 解 方 法
面 向 多 核 的 全 新 操 作 系 统 设 计
不 能 对 异 构 资 源 进 行 有 效 管 理
基 于 R F I D 的 非 绑 定 式 感 知
学 术 界 与 产 业 界 的 意 见 不 一 致
建 立 有 威 慑 力 的 知 识 产 权 体 系
注 重 应 用 型 博 士 研 究 生 的 培 养
具 有 频 谱 重 用 特 性 的 多 方 交 易
深 度 学 习 在 物 体 识 别 中 的 应 用
深 度 学 习 在 物 体 检 测 中 的 应 用
男 女 学 生 的 能 力 差 别 认 知 分 析
时 钟 数 据 协 同 编 码 及 转 换 机 制
维 护 奖 励 的 公 信 力 和 权 威 性 。
五 代 机 计 划 和 第 五 代 机 研 究 所
做 事 公 平 ， 采 取 行 动 无 歧 视 。
接 受 并 提 供 适 当 的 专 业 审 查 。
用 K Q I 衡 量 文 献 的 知 识 含 量
基 于 K Q I 的 机 构 和 国 家 排 名
“ 他 的 爱 是 真 的 ， 但 他 不 是 ”
报 告 的 调 研 方 法 ， 延 续 和 微 调
最 受 瞩 目 的 应 用 领 域 调 研 对 比
大 服 务 的 相 关 理 论 方 法 与 技 术
大 服 务 引 发 的 软 件 开 发 新 范 型
基 于 图 像 库 的 内 容 查 找 与 编 辑
没 有 什 么 比 拥 有 好 心 态 更 重 要
用 A U C 值 评 价 模 型 预 测 能 力
从 强 化 学 习 的 视 角 看 学 习 热 情
1 、 面 向 硬 件 故 障 注 入 的 应 用
2 、 面 向 软 件 故 障 注 入 的 应 用
计 算 机 体 系 结 构 面 临 重 大 变 革
有 线 通 信 传 输 技 术 的 换 代 发 展
日 本 建 设 信 息 泛 在 和 包 容 社 会
D C A S E 数 据 挑 战 赛 的 历 史
声 音 事 件 标 记 与 声 音 事 件 检 测
回 顾 数 据 科 学 时 代 的 计 算 思 维
老 年 人 安 居 与 智 能 辅 助 实 验 室
老 年 人 健 康 指 数 远 程 监 测 技 术
开 源 社 区 的 运 作 越 来 越 职 业 化
开 源 成 为 另 一 种 标 准 制 定 方 式
K a g g l e 上 的 学 术 型 竞 赛
技 术 特 色 二 ： 可 编 程 数 据 平 面
控 制 更 大 规 模 量 子 系 统 的 挑 战
提 高 C C F 在 企 业 界 的 影 响 力
学 术 共 同 体 需 要 培 养 自 身 权 威
C C F 应 引 导 学 术 评 价 新 方 向
患 者 信 息 全 景 呈 现 的 临 床 应 用
